book_title,book_author,book_translator,book_pub_date,book_isbn
신경망 첫걸음,타리크 라시드 ,,2017-04-03,9788968483509
텐서플로 첫걸음,조르디 토레스 ,,2016-08-29,9788968484902
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2018-08-30,9791162241004
Make: Technology on Your Time Volume 03,오라일리 / 메이크 미디어 (Make Media) ,,2012-04-02,9788979149128
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,,2019-05-20,9791156644415
Make: Technology on Your Time Volume 04,오라일리 / 메이크 미디어 (Make Media) ,,2012-09-28,9788979149586
Make: Technology on Your Time Volume 08,메이크 미디어 (Make Media) ,,2015-06-28,9788968480836
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2016-09-08,9788968484919
회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2019-06-10,9791162241851
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2016-06-30,9788968482823
혼자 공부하는 자바,신용권 ,,2019-06-10,9791162241875
처음 배우는 인공지능,다다 사토시 ,,2017-06-01,9788968483318
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
엑셀 피벗&파워 쿼리 바이블,최준선 ,,2017-11-05,9791162240083
3D 프린팅을 위한 스케치업,리디아 클라인 ,,2017-05-01,9788968483578
러닝 텐서플로,"톰 호프 , 예헤즈켈 레셰프 , 이타이 리더 ",,2018-05-04,9791162240687
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
파이썬 라이브러리를 활용한 머신러닝(번역개정판) : 사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서,"안드레아스 뮐러 , 세라 가이도 ",,2019-03-29,9791162241646
"모던 자바 인 액션 : 람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",,2019-08-01,9791162242025
엑셀 2016 바이블,최준선 ,,2016-09-30,9788968484827
딥러닝의 정석,니킬 부두마 ,,2018-02-26,9791162240519
텐서플로 첫걸음,조르디 토레스 ,,2016-08-29,9788968484902
아두이노 101,서영배 ,,2016-10-15,9788968484780
딥러닝 첫걸음,김성필 ,,2016-12-30,9788968487323
밑바닥부터 시작하는 딥러닝,사이토 고키 ,,2017-01-03,9788968484636
소문난 명강의 : 김도형의 데이터 사이언스 스쿨(수학 편),김도형 ,,2019-11-20,9791162242414
엑셀 바이블 : 실무에 최적화된 엑셀 사용서(모든 버전 사용 가능),최준선 ,,2019-05-08,9791162241813
회사에서 바로 통하는 엑셀+파워포인트+워드 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수 ",,2018-02-05,9791162240267
회사에서 바로 통하는 엑셀 2016,한은숙 ,,2017-07-05,9788968483356
헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법,김진영 ,,2016-02-23,9788968482656
신경망 첫걸음,타리크 라시드 ,,2017-04-03,9788968483509
엑셀 매크로&VBA 바이블,최준선 ,,2019-09-10,9791162242209
회사에서 바로 통하는 실무 엑셀 최강 업무 활용법,전미진 ,,2019-11-30,9791162242292
회사에서 바로 통하는 엑셀 FOR STARTERS,전미진 ,,2020-01-06,9791162242544
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2018-08-30,9791162241004
이것이 자바다,신용권 ,,2015-01-06,9788968481475
회사에서 바로 통하는  실무 엑셀+파워포인트+워드&한글(개정판),"전미진 , 이화진 , 신면철 ",,2020-04-10,9791162243008
메이커 매뉴얼,"안드레아 마이에타 , 파올로 알리베르티 ",,2016-07-01,9788968482885
Make: 심플 로봇,케이티 세서리 ,,2016-08-01,9788968484971
회사에서 바로 통하는 실무 엑셀 매크로&VBA,김경자 ,,2020-08-20,9791162243428
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,,2019-05-20,9791156644415
Make: Technology on Your Time Volume 02,오라일리 / 메이크 미디어 (Make Media) ,,2011-09-06,9788979148411
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,,2015-02-27,9788968481710
처음 배우는 인공지능,다다 사토시 ,,2017-06-01,9788968483318
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,,2011-05-09,9788979147728
회사에서 바로 통하는 엑셀 비즈니스 데이터 분석,히바나 히로코(日花弘子) ,,2006-03-03,8979143869
밑바닥부터 시작하는 딥러닝 2,사이토 고키 ,,2019-05-01,9791162241745
Make: Technology on Your Time Volume 03,오라일리 / 메이크 미디어 (Make Media) ,,2012-04-02,9788979149128
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호 ,,2019-07-15,9791162242001
"자바 8 인 액션 : 람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",,2015-03-19,9788968481796
엑셀 2016 바이블,최준선 ,,2016-09-30,9788968484827
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,,2014-12-26,9788968481505
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",,2014-01-02,9788968480737
Make: Technology on Your Time Volume 04,오라일리 / 메이크 미디어 (Make Media) ,,2012-09-28,9788979149586
메이커 운동 선언 : 테크숍 CEO가 말하는 미래를 지배할 혁신의 원칙,마크 해치 ,,2014-05-20,9788968480980
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",,2005-11-16,8979143710
엑셀 피벗&파워 쿼리 바이블,최준선 ,,2017-11-05,9791162240083
Maker Pro : 메이커 프로,존 베이첼 ,,2015-07-28,9788968482038
전자부품 백과사전 vol.2 : 신호 처리,찰스 플랫 ,,2015-12-01,9788968482373
회사에서 바로 통하는 한글 NEO FOR STARTERS,신면철 ,,2017-06-28,9788968488092
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO,"전미진 , 이화진 , 신면철 ",,2017-07-12,9788968483363
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",,2018-01-02,9791162240250
엑셀 매크로&VBA 바이블,최준선 ,,2019-09-10,9791162242209
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ",,2015-09-28,9788968482205
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
엑셀 함수&수식 바이블: 회사에서 필요한 함수&수식은 모두 있다!,최준선 ,,2015-04-28,9788968481826
회사에서 바로 통하는 파워포인트 FOR STARTERS,이화진 ,,2020-05-07,9791162243107
Make: 라즈베리 파이 로봇,볼프람 도낫 ,,2015-08-27,9788968482144
자바 퍼즐러 : 세상에서 가장 재미있는 자바 책,"조슈아 블로크 , 닐 개프터 ",,2014-12-27,9788968481444
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,,2014-05-20,9788968481000
전자부품 백과사전 vol.3,"찰스 플랫 , 프레드릭 얀슨 ",,2017-05-01,9788968483493
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",,2015-02-25,9788968481697
엑셀 바이블 : 실무에 최적화된 엑셀 사용서(모든 버전 사용 가능),최준선 ,,2019-05-08,9791162241813
회사에서 바로 통하는 엑셀 2016 FOR STARTERS,전미진 ,,2017-03-15,9788968483455
필수 공식으로 하루에 하나씩 정복하는 엑셀 업무 공략집,최준선 ,,2020-06-01,9791162243169
뇌를 자극하는 Java 프로그래밍,김윤명 ,,2006-09-04,8979143974
회사에서 바로 통하는 엑셀&파워포인트 2007,"한은숙 , 고경희 ",,2008-06-11,9788979144888
회사에서 바로 통하는 엑셀 2016,한은숙 ,,2017-07-05,9788968483356
회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,"전미진 , 이화진 , 신면철 ",,2018-09-17,9791162241097
회사에서 바로 통하는 엑셀 2010,한은숙 ,,2011-03-23,9788979147865
엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다,최준선 ,,2013-06-25,9788968480270
회사에서 바로 통하는 한글 NEO FOR STARTERS,신면철 ,,2017-06-28,9788968488092
회사에서 바로 통하는 엑셀 2013,한은숙 ,,2014-07-09,9788968481079
회사에서 바로 통하는 실무 엑셀,한은숙 ,,2019-03-31,9791162241691
엑셀 매크로&VBA 바이블: 회사에서 필요한 코드는 모두 있다!,최준선 ,,2012-06-28,9788979149357
회사에서 바로 통하는 엑셀+파워포인트+워드 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수 ",,2018-02-05,9791162240267
회사에서 바로 통하는 엑셀 2016 FOR STARTERS,전미진 ,,2017-03-15,9788968483455
엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다,최준선 ,,2013-06-25,9788968480270
Head First Servlets & JSP(개정판) : 상상력을 자극하는 몰입의 학습법,"케이시 시에라 , 버트 베이츠 , 브라얀 바샴 ",,2009-02-02,9788979146639
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,,2015-02-16,9791156641506
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",,2015-06-28,9788968482076
라즈베리 파이 쿡북,사이먼 몽크 ,,2014-12-26,9788968481536
회사에서 바로 통하는 엑셀 2010,한은숙 ,,2011-03-23,9788979147865
회사에서 바로 통하는 파워포인트 2016 FOR STARTERS,이화진 ,,2017-04-14,9788968483462
Make: 액션,사이먼 몽크 ,,2016-12-06,9788968484674
회사에서 바로 통하는 엑셀&파워포인트 2007,"한은숙 , 고경희 ",,2008-06-11,9788979144888
"IT CookBook , 엑셀과 파워포인트 2016",김지연 ,,2017-12-27,9791156643760
"IT CookBook, 초보자의 첫 번째 엑셀 2007",양숙희 ,,2014-02-19,9788998756000
Head First Design Patterns: 스토리가 있는 패턴 학습법,"에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",,2005-08-22,8979143400
엑셀 2007 바이블: 엑셀의 거의 모든 기능,최준선 ,,2008-11-28,9788979146042
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,,2015-04-24,9788968481888
"IT CookBook, 엑셀 2007 실무와 활용",한은숙 ,,2014-02-17,9788998756918
회사에서 바로 통하는 파워포인트 2016 FOR STARTERS,이화진 ,,2017-04-14,9788968483462
"IT CookBook, 엑셀 2016",김지연 ,,2018-06-29,9791156644057
회사에서 바로 통하는 엑셀 2007 개정판,전미진 ,,2009-08-21,9788979146776
"IT CookBook, 엑셀과 파워포인트 2007 실무와 활용","한은숙 , 고경희 ",,2013-03-12,9788998756093
세상에서 제일 친절한 엑셀,박재영 ,,2017-04-05,9788968484605
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,,2015-02-16,9791156641506
"IT CookBook, 초보자의 첫 번째 파워포인트 2007",고경희 ,,2009-11-05,9788979147025
회사에서 바로 통하는 한글 2014,신면철 ,,2015-02-27,9788968481734
회사에서 바로 통하는 엑셀 2013,한은숙 ,,2014-07-09,9788968481079
"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,,2014-11-28,9791156641407
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,,2013-03-12,9788998756109
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",,2015-06-28,9788968482076
뇌를 자극하는 JSP & Servlet,김윤명 ,,2010-12-15,9788979147506
"IT CookBook, 컴퓨터 실습 : 윈도우 XP, 한글 2007, 엑셀 2007, 파워포인트 2007","김주영 , 정영준 ",,2013-03-20,9788998756185
"IT CookBook, 엑셀 2007 실무와 활용",한은숙 ,,2014-02-17,9788998756918
회사에서 바로 통하는 실무 엑셀,한은숙 ,,2019-03-31,9791162241691
"IT CookBook, 초보자의 첫 번째 엑셀 2007",양숙희 ,,2014-02-19,9788998756000
엑셀 2007 바이블: 엑셀의 거의 모든 기능,최준선 ,,2008-11-28,9788979146042
회사에서 바로 통하는 엑셀 2007 개정판,전미진 ,,2009-08-21,9788979146776
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,,2014-08-01,9791156641124
회사에서 바로 통하는 엑셀+파워포인트 2013&한글 2014,"전미진 , 이화진 , 신면철 ",,2015-04-28,9788968481932
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014,"전미진 , 이화진 , 신면철 ",,2015-05-19,9788968481949
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014 & 윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",,2016-03-28,9788968482731
리팩토링: 코드 품질을 개선하는 객체지향 사고법,마틴 파울러 ,,2012-11-01,9788979149715
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,,2014-02-24,9788998756802
Elemental Design Patterns : 객체지향과 디자인 패턴의 연결 고리,제이슨 맥컴 스미스 ,,2013-05-02,9788968480140
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",,2013-03-20,9788998756154
Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션,"에릭 프리먼 , 엘리자베스 롭슨 ",,2012-07-28,9788979149326
"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,,2014-11-28,9791156641407
"IT CookBook, 파워포인트 2016",김지연 ,,2019-06-29,9791156644514
"IT CookBook, 컴퓨터 활용과 실습 2016",김주영 ,,2019-07-15,9791156644507
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,,2015-02-02,9791156641490
Head First HTML and CSS(개정판) : HTML5를 적용한 웹 제작 지침서,"엘리자베스 롭슨 , 에릭 프리먼 ",,2013-04-11,9788968480126
회사에서 바로 통하는 한글 2014,신면철 ,,2015-02-27,9788968481734
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 ,,2013-08-21,9788998756369
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연 ,,2015-12-28,9791156642404
"IT CookBook, 컴퓨터 실습 : 윈도우 XP, 한글 2007, 엑셀 2007, 파워포인트 2007","김주영 , 정영준 ",,2013-03-20,9788998756185
엑셀 2010 바이블,최준선 ,,2011-09-28,9788979148541
회사에서 바로 통하는 파워포인트 2013,전상오 ,,2014-11-25,9788968481413
엑셀 2010 함수 바이블,이동숙 ,,2011-02-28,9788979148084
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,,2014-08-01,9791156641124
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,,2013-03-12,9788998756109
"IT CookBook, 한글 2014 for Beginner",양숙희 ,,2014-12-04,9791156641414
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",,2010-09-16,9788979147636
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4 ,,2015-04-10,9791156641773
회사에서 바로 통하는 엑셀+파워포인트+워드 2013(개정판),"전미진 , 이화진 , 신면철 ",,2014-10-28,9788968481369
Effective Unit Testing : 클린 코드와 좋은 설계를 이끄는 단위 테스트,라쎄 코스켈라 ,,2013-11-11,9788968480621
